trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
177,False,"{'a': 0.0075, 'e': 0.24090317661221564}",20,8,-32.86570202664452,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.0075, 'e': 0.23361735083189297}",20,16,8.741030491016682,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.0075, 'e': 0.22631838413718425}",30,21,14.746330312385073,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.0075, 'e': 0.21900668709304172}",20,10,19.18294991967808,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.0075, 'e': 0.21168267098049576}",35,12,21.479938650390775,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.0075, 'e': 0.2043467477735218}",25,15,22.642101040794977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.0075, 'e': 0.19699933011586598}",25,13,2.1149798000146314,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.0075, 'e': 0.18964083129783446}",25,14,17.566901390825358,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.0075, 'e': 0.18227166523304508}",25,9,13.47983480745289,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.0075, 'e': 0.17489224643514614}",20,8,9.9751407701997,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.0075, 'e': 0.16750298999449953}",25,19,10.379838234855809,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.0075, 'e': 0.16010431155483126}",25,11,1.2022432347214633,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.0075, 'e': 0.15269662728985295}",30,12,17.018521936776057,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.0075, 'e': 0.14528035387985133}",20,15,-3.0109647056445406,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.0075, 'e': 0.13785590848825044}",20,5,25.51972563287484,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.0075, 'e': 0.13042370873814554}",20,8,21.71995129008847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.0075, 'e': 0.1229841726888131}",20,15,7.137165871489914,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.0075, 'e': 0.11553771881219456}",30,21,17.22242669227751,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.0075, 'e': 0.10808476596935661}",30,9,31.928088953847844,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.0075, 'e': 0.10062573338693172}",20,16,6.2030279719813795,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.0075, 'e': 0.09316104063353595}",35,21,23.89724270963703,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.0075, 'e': 0.08569110759616867}",20,12,14.954052105401022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.0075, 'e': 0.07821635445659317}",20,5,25.301292646132673,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.0075, 'e': 0.0707372016677029}",25,10,26.56365925439311,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.0075, 'e': 0.06325406992987043}",25,14,21.96966581780204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,15,20.473557362995134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,21,18.09652351931269,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,26.964892639581926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,15.318746209252934,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,21.453025100929707,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,14,29.783050746167067,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,17.163898788381275,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,24.371936284901732,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,5,25.837087037872696,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,15.030601423701935,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
